X,Y,DESCRIP86,BUSINESS86,USECLASS86,USECLASS96,USECLASS04,USECLASS10,ADDRESS,POSTCODE,OBJECTID
326794.4614,673934.384099999,restaurant, ,Class 3,Class 9,Class 3,Class 3,9 ABBEY STRAND,EH8 8DU,1
327067.4706,674402.0065,hairdresser, ,Class 1,Class 1, , , , ,2
326939.8169,674274.0781,vacant, ,Vacant,Demolished, , , , ,3
328372.6636,674066.014799999,surgery, ,Class 2,Class 4,Class 4,Class 4,4 ABERCORN ROAD,EH8 7DE,4
325432,674403,restaurant, ,Class 3,Class 3, , , , ,5
327065.6429,675875.6072,vacant, ,Vacant,Class 2,Vacant,Vacant,4 ACADEMY STREE,EH6 7EF,6
327068.7502,675878.964600001,vacant, ,Vacant,Vacant, , , , ,7
326540.7538,676593.450300001,vacant, ,Vacant,Class 9,Class 9, , , ,8
326545.0261,676599.0733,vacant, ,Vacant,Class 9,Class 9, , , ,9
326547.9528,676602.6754,vacant, ,Vacant,Class 9,Class 9, , , ,10
325604.971,674390.9144,public house, ,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,1 ALBANY STREET,EH1 3PY,11
325596.783,674420.320800001,hairdresser,Kivlin,Class 1,Class 1,Class 1,Class 1,2 ALBANY STREET,EH1 3QB,12
325600.3632,674421.5142,photographic studio,Darling,Class 2,Class 4,Class 4,Class 1,4 ALBANY STREET,EH1 3QB,13
326504.1046,675014.6623,videotape hire, ,Class 1,Class 1,Class 1,Vacant,1 ALBERT PLACE,EH7 5HN,14
326499.3377,675008.6754,ladies' clothing, ,Class 1,Class 1,Class 1,Class 1,3 ALBERT PLACE,EH7 5HN,15
326496.9739,675005.3377,vacant, ,Vacant,Class 3,Class 3,Class 3,4 ALBERT PLACE,EH7 5HN,16
326488.2593,674992.1688,vacant, ,Vacant,Class 2,Class 2,Vacant,5 ALBERT PLACE,EH7 5HN,17
326493.3246,674999.260399999,carpets, ,Class 1,Class 1,Class 1,Class 1,7-8 ALBERT PLAC,EH7 5HN,18
326485.1558,674987.8442,vacant, ,Vacant,Class 1,Class 3,Class 1,9 ALBERT PLACE,EH7 5HN,19
326482.6623,674984.8181,post office, ,Class 1,Class 1,Class 1,Class 1,10 ALBERT PLACE,EH7 5HN,20
326480.0,674981.0131,hot food take-away, ,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,12 ALBERT PLACE,EH7 5HN,21
326477.1296,674977.2985,travel agent, ,Class 1,Class 1,Class 1,Class 1,13 ALBERT PLACE,EH7 5HN,22
326470.2723,674968.0,restaurant, ,Class 3,Class 3, , , , ,23
326466.8954,674963.103499999,public house, ,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,17 ALBERT PLACE,EH7 5HN,24
326459.9869,674956.3638,general clothing, ,Class 1,Class 1,SUI GENERIS,Class 4,20 ALBERT PLACE,EH7 5HN,25
326457.9608,674953.4935,electrical, ,Class 1,Class 1,Class 1,Class 1,21-22 ALBERT PL,EH7 5HN,26
326455.5436,674950.1666,public house, ,SUI GENERIS,SUI GENERIS,SUI GENERIS,Class 1,25 ALBERT PLACE,EH7 5HN,27
326452.8954,674946.570800001,n/t/c, ,Class 1,Class 1,Class 1,Vacant,26 ALBERT PLACE,EH7 5HN,28
326450.5316,674943.3627,window blinds, ,Class 1,Class 1,Class 1,Class 1,27 ALBERT PLACE,EH7 5HN,29
326447.9989,674939.817,hairdresser, ,Class 1,Class 1,Class 1,Class 1,28 ALBERT PLACE,EH7 5HN,30
326443.1024,674933.738500001,builder, ,Class 4,Vacant, , , , ,31
326516.7658,675014.416099999,cafe, ,Class 3,SUI GENERIS,Class 3,Class 3,3A ALBERT STREE,EH7 5HL,32
326577.7401,675008.803200001,off license, ,Class 1,Class 1, , , , ,33
326635.6299,675006.1732,catering equipment supplies, ,Class 2,Class 4,Vacant,Class 4,21 ALBERT STREE,EH7 5LH,34
326656.0,675005.2599,wholesale fruit & veg., ,Class 2,Vacant,Vacant,Class 1,33 ALBERT STREE,EH7 5LH,35
326679.7401,675003.629899999,vacant, ,Vacant,Class 2,Class 2,Class 2,45 ALBERT STREE,EH7 5LN,36
326894.1968,674991.1732,hot food t/a, ,SUI GENERIS,SUI GENERIS,Class 4,Class 9, , ,37
326899.6299,674990.0866,vacant, ,Vacant,Class 9,Class 9, , , ,38
326977,674981,post office, ,Class 1,Class 2,Class 9, , , ,39
326543.5577,675038.103499999,baker, ,Class 1,Class 1,Class 1,Vacant, , ,40
326547.2723,675037.934599999,"confectionery, tobacco", ,Class 1,Class 2,Class 2,Vacant,10 ALBERT STREE,EH7 5LG,41
326553.5196,675037.596899999,baker, ,Class 1,Class 1,Class 1,Class 1,14-16 ALBERT ST,EH7 5LG,42
326559.7789,675037.259299999,grocer, ,Class 1,Class 1, , , , ,43
326566.0261,675037.090399999,vacant, ,Vacant,Class 1, , , , ,44
326568.7277,675036.921599999,vacant, ,Vacant,Class 1,SUI GENERIS,SUI GENERIS,24 ALBERT STREE,EH7 5LG,45
326118.5719,674544.116599999,sports trophies & engraving,Emslie Engraving Co.,Class 1,Class 1,Class 1,Vacant,13 ANTIGUA STRE,EH1 3NH,46
326121.5588,674548.934599999,decorating supplies,Decor 8,Class 1,Class 1,Class 1,Class 1,14 ANTIGUA STRE,EH1 3NH,47
323508.8081,672456.9794,bank, ,Class 2,Class 2,Class 2,Class 2,1(GF) ARDMILLAN,EH11 2JN,48
323508.4043,672448.266000001,hairdresser, ,Class 1,Class 1,Class 1,Class 1,2 ARDMILLAN TER,EH11 2JN,49
323507.1486,672437.788000001,chemist, ,Class 1,Class 1,Class 1,Class 1,3 ARDMILLAN TER,EH11 2JN,50
323492.7987,672294.433,blinds, ,Class 1,Vacant, , , , ,51
323492.6706,672290.7195,jeweller/watches, ,Class 1,Vacant, , , , ,52
323492.5426,672287.2621,sweep/slater, ,Class 4,Vacant, , , , ,53
323492.2865,672283.420499999,nearly new clothes & furniture, ,Class 1,Vacant,Class 4,Class 4,24 ARDMILLAN TE,EH11 2JW,54
323492.1584,672279.322799999,building society, ,Class 2,Class 1,Class 1,Class 1,25 ARDMILLAN TE,EH11 2JW,55
325660.262,672359.632200001,public house, ,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,15-17 ARGYLE PL,EH9 1JJ,56
325660.7356,672340.002499999,engineer, ,Class 4,Class 1,Class 1,Class 1,18 ARGYLE PLACE,EH9 1JJ,57
325660.262,672347.105799999,grocer (lic), ,Class 1,Class 1,Class 1,Vacant,20 ARGYLE PLACE,EH9 1JJ,58
