X,Y,OBJECTID,DESCRIP15,BUSINESS15,USECLASS15,CVR15_POST,EASTING,NORTHING,ADDRESS
327218,674307,1,stoves,BONK & CO LTD,Class 1,EH8 8HH,327218,674307,2/2 ABBEY LANE
326794,673934,2,restaurant,Caf‚ at the Palace,Class 3, ,326794,673934, 
326799,673898,3,souvenirs,Queen's Gallery Shop,Class 1,EH8 8DU,326799,673898,9(GF) ABBEY STRAND
326818,674116,4,vacant,vacant,Vacant,EH8 8EA,326818,674116,55 ABBEYHILL
328373,674066,5,cloth printing,Click Printwear,Class 2,EH8 7DE,328373,674066,4 ABERCORN ROAD
325555,674409,6,restaurant,Karens Unicorn,Class 3,EH3 6LB,325555,674409,8B ABERCROMBY PLACE
327066,675876,7,vacant,vacant,Vacant,EH6 7EF,327066,675876,4 ACADEMY STREET
325684,673670,8,restaurant / public house,The Devil's Advocate,Class 3,EH1 1PS,325684,673670,"9 ADVOCATES CLOSE, ( 357 HIGH STREET )"
325605,674391,9,public house,The Magnum,SUI GENERIS,EH1 3PY,325605,674391,1 ALBANY STREET
325662,674407,10,medals and engravers,Alex Kirkwood and Sons,Class 1,EH1 3PY,325662,674407,13(GF) ALBANY STREET
325597,674420,11,hairdresser,Charles Kivlin Hair Studio,Class 1,EH1 3QB,325597,674420,2 ALBANY STREET
325600,674422,12,Designer clothing,Serap Couture,Class 1,EH1 3QB,325600,674422,4 ALBANY STREET
326504,675015,13,Restaurant,Golden Ambal,Class 3,EH7 5HN,326504,675015,1 ALBERT PLACE
326499,675009,14,hairdresser,Helen Dean,Class 1,EH7 5HN,326499,675009,3 ALBERT PLACE
326497,675005,15,restaurant & hot food take-away,Eastern Masala,Class 3,EH7 5HN,326497,675005,4 ALBERT PLACE
326488,674992,16,Financial services,Albert Business Centre,Class 4,EH7 5HN,326488,674992,5 ALBERT PLACE
326493,674999,17,grocer,Star Premier,Class 1,EH7 5HN,326493,674999,7-8 ALBERT PLACE
326485,674988,18,sandwich bar,Sandwich Express,Class 1,EH7 5HN,326485,674988,9 ALBERT PLACE
326483,674985,19,Gifts,Bharsa Boutique,Class 1,EH7 5HN,326483,674985,10 ALBERT PLACE
326480,674981,20,hot food take-away,Silver Bowl,SUI GENERIS,EH7 5HN,326480,674981,12 ALBERT PLACE
326477,674977,21,travel agent,Airlink Travel (Scotland) Ltd.,Class 1,EH7 5HN,326477,674977,13 ALBERT PLACE
326473,674972,22,restaurant,The Tail End,Class 3,EH7 5HN,326473,674972,14-15 ALBERT PLACE
326467,674963,23,public house,Black Fox,SUI GENERIS,EH7 5HN,326467,674963,17 ALBERT PLACE
326470,674951,24,sauna,Sauna,Class 11,EH7 5HN,326470,674951,18 ALBERT PLACE
326460,674956,25,e-cigarettes,Haze Vapours,Class 1,EH7 5HN,326460,674956,20 ALBERT PLACE
326458,674953,26,mobile phones,Urban Tech,Class 1,EH7 5HN,326458,674953,21-22 ALBERT PLACE
326456,674950,27,clothing alterations,Tailor,Class 1,EH7 5HN,326456,674950,25 ALBERT PLACE
326453,674947,28,Financial Services,Smart Buzz,Class 4,EH7 5HN,326453,674947,26 ALBERT PLACE
326451,674943,29,nail salon,Glam,Class 1,EH7 5HN,326451,674943,27 ALBERT PLACE
326448,674940,30,hairdresser,The Cutting Room,Class 1,EH7 5HN,326448,674940,28 ALBERT PLACE
326442,674932,31,caf‚,Fair Trade Coffe Shop,Class 3,EH7 5HN,326442,674932,30-31 ALBERT PLACE
326517,675014,32,caf‚,Word of Mouth,Class 3,EH7 5HL,326517,675014,3A ALBERT STREET
326636,675006,33,chartered surveys,Randall Associates,Class 4,EH7 5LH,326636,675006,21 ALBERT STREET
326656,675005,34,grocer,Rajjah's Supermarket,Class 1,EH7 5LH,326656,675005,33 ALBERT STREET
326680,675004,35,estate agents,W.W. & J. Borland,Class 2,EH7 5LN,326680,675004,45 ALBERT STREET
326978,674989,36,vacant,vacant,Vacant,EH7 5LY,326978,674989,101 ALBERT STREET
326544,675038,37,vacant,vacant,Vacant, ,326544,675038, 
326547,675038,38,vacant,vacant,Vacant,EH7 5LG,326547,675038,10 ALBERT STREET
326554,675038,39,baker,Sicilian Pastry Shop,Class 1,EH7 5LG,326554,675038,14-16 ALBERT STREET
326563,675037,40,grocer,Ben Stores,Class 1,EH7 5LG,326563,675037,18-20 ALBERT STREET
326569,675037,41,hot food take-away,Khyber Kebabs,SUI GENERIS,EH7 5LG,326569,675037,24 ALBERT STREET
326572,675037,42,butcher,Graham Cherrie,Class 1,EH7 5LG,326572,675037,26 ALBERT STREET
326581,675042,43,architect,Icosis,Class 4,EH7 5LG,326581,675042,28 ALBERT STREET
326581,675042,44,hot food take-away,Juding,SUI GENERIS,EH7 5LG,326581,675042,30 ALBERT STREET
326581,675042,45,vacant,vacant,Vacant,EH7 5LG,326581,675042,34 ALBERT STREET
326861,675020,46,stonemason,Stone Restore,Class 4,EH7 5LT,326861,675020,144 ALBERT STREET
326870,675019,47,vacant,vacant,Vacant, ,326870,675019, 
326883,675019,48,vacant,vacant,Vacant, ,326883,675019, 
326913,675017,49,n/t/c,S & J Albert Stores,Class 1,EH7 5NA,326913,675017,160 ALBERT STREET
326919,675017,50,computer networks,Red Triangle Solutions,Class 4,EH7 5NA,326919,675017,162 ALBERT STREET
326969,675014,51,building insulation (storage only),Holt Insulation Ltd.,Class 4,EH7 5NA,326969,675014,176 ALBERT STREET
326979,675014,52,public house,The Office,SUI GENERIS,EH7 5NA,326979,675014,180 ALBERT STREET
327012,674930,53,football shop,The Football Programme Shop,Class 1,EH7 5QJ,327012,674930,5 ALBION ROAD
327028,674935,54,take away food,Smokey Jim's,Class 1,EH7 5QJ,327028,674935,11 ALBION ROAD
327033,674936,55,second hand shop,Good Old Days Vintage,Class 1,EH7 5QJ,327033,674936,13 ALBION ROAD
327199,674945,56,grocer (lic.),Day-Today Express,Class 1,EH7 5QP,327199,674945,49 ALBION ROAD
327179,674924,57,car sales,Albion Road Garage,SUI GENERIS,EH7 5QU,327179,674924,36-36A ALBION ROAD
327183,674919,58,car sales,Albion Road Garage,SUI GENERIS,EH7 5QU,327183,674919,38 ALBION ROAD
327185,674913,59,massage parlour,Scorpio Leisure,Class 11,EH7 5QU,327185,674913,42-44 ALBION ROAD
327227,674852,60,grocer,Lifestyle Stop & Shop,Class 1,EH7 5QZ,327227,674852,52 ALBION ROAD
327234,674848,61,vacant,vacant,Vacant,EH7 5QZ,327234,674848,56 ALBION ROAD
327238,674846,62,vacant,vacant,Vacant,EH7 5QZ,327238,674846,58 ALBION ROAD
322562,672191,63,Cafe and craft shop,Greenshoots,SUI GENERIS,EH11 2RH,322562,672191,8 ALEXANDER DRIVE
322308,670980,64,surveyors & estate agents,Davidson & Robertson,Class 4,EH14 1LD,322308,670980,1 ALLAN PARK ROAD
324555,673727,65,restaurant,Edinburgh Larder,Class 3,EH2 4PH,324555,673727,1A ALVA STREET
324528,673698,66,vacant,vacant,Vacant, ,324528,673698, 
324467,673639,67,beauty salon,Claire's Beauty and Health,Class 1,EH2 4PS,324467,673639,33 ALVA STREET
324453,673658,68,ladies clothing,Bri Boutique,Class 1,EH2 4PY,324453,673658,34-34B ALVA STREET
324943,672296,69,bicycles,Edinburgh Bicycle Co-operative,Class 1,EH9 1DU,324943,672296,5-11 ALVANLEY TERRACE
325990,676930,70,public house,Prom Bar,SUI GENERIS,EH6 4JG,325990,676930,2-3 ANCHORFIELD
325986,676931,71,vacant,vacant,Vacant,EH6 4JG,325986,676931,5 ANCHORFIELD
325981,676932,72,hot food take-away,Newhaven Express,SUI GENERIS,EH6 4JG,325981,676932,6 ANCHORFIELD
325976,676933,73,vacant,vacant,Vacant,EH6 4JG,325976,676933,7 ANCHORFIELD
325971,676934,74,caf‚,The Haven,Class 3,EH6 4JG,325971,676934,9 ANCHORFIELD
323653,672446,75,public house,The Diggers,SUI GENERIS,EH11 2JX,323653,672446,1-3 ANGLE PARK TERRACE
323650,672442,76,electrician & plumber,AEIS,Class 4,EH11 2JX,323650,672442,5 ANGLE PARK TERRACE
323646,672437,77,office,n/a,Class 4,EH11 2JX,323646,672437,7 ANGLE PARK TERRACE
323639,672429,78,furniture,Sofa and Stuff,Class 1,EH11 2JX,323639,672429,(8) ANGLE PARK TERRACE
323524,672303,79,public house,Caledonian Sample Room,SUI GENERIS,EH11 2JR,323524,672303,58 ANGLE PARK TERRACE
323504,672289,80,n/t/c / grocer,Angle Park Convienence store,Class 1,EH11 2JR,323504,672289,60 ANGLE PARK TERRACE
323501,672286,81,workwear,Red Lemon,Class 1,EH11 2JR,323501,672286,62 ANGLE PARK TERRACE
323498,672284,82,vacant,vacant,Vacant,EH11 2JR,323498,672284,64 ANGLE PARK TERRACE
323533,672287,83,upholsterer,Irvine Upholsterers,Class 4,EH11 2JP,323533,672287,76 ANGLE PARK TERRACE
323555,672302,84,funeral directors,Scotmid Funeral Directors,Class 1,EH11 2JP,323555,672302,(78) ANGLE PARK TERRACE
326198,674751,85,car hire,Entreprise,SUI GENERIS,EH7 4AN,326198,674751,12 ANNANDALE STREET
325926,676939,86,hot food take-away (Indian),Open Spice,SUI GENERIS,EH6 4JF,325926,676939,3 ANNFIELD
325886,676945,87,public house,The Annfield,SUI GENERIS,EH6 4JF,325886,676945,10 ANNFIELD
326088,674489,88,restaurant,Pomegranate,Class 3,EH1 3NH,326088,674489,1 ANTIGUA STREET
326091,674494,89,hot food take-away,Deep Sea Fish & Chips,SUI GENERIS,EH1 3NH,326091,674494,2 ANTIGUA STREET
326096,674503,90,restaurant,Mama Roma,Class 3,EH1 3NH,326096,674503,4-7 ANTIGUA STREET
326107,674521,91,pictures & picture framing,L. Freedman,Class 1,EH1 3NH,326107,674521,8 ANTIGUA STREET
326108,674523,92,restaurant (Asian) opening soon,Ada,Class 3,EH1 3NH,326108,674523,9A ANTIGUA STREET
326112,674531,93,restaurant (indian),Kushis,Class 3,EH1 3NH,326112,674531,10-11 ANTIGUA STREET
326119,674544,94,restaurant,Caf‚ Marlayne,Class 3,EH1 3NH,326119,674544,13 ANTIGUA STREET
326122,674549,95,fitness equipment,Powerhouse,Class 1,EH1 3NH,326122,674549,14 ANTIGUA STREET
323509,672457,96,bank,Bank of Scotland / HBOS,Class 2,EH11 2JN,323509,672457,1(GF) ARDMILLAN TERRACE
323508,672448,97,hairdresser,Natisse Hairdressing,Class 1,EH11 2JN,323508,672448,2 ARDMILLAN TERRACE
323507,672438,98,chemist,Springwell Pharmacy,Class 1,EH11 2JN,323507,672438,3 ARDMILLAN TERRACE
323492,672283,99,chimney sweep,Auld Reekie,Class 4,EH11 2JW,323492,672283,24 ARDMILLAN TERRACE
323492,672279,100,"trophies, engraving",Activity Awards,Class 1,EH11 2JW,323492,672279,25 ARDMILLAN TERRACE
325660,672360,101,public house,Argyle Bar/The Hide,SUI GENERIS,EH9 1JJ,325660,672360,15-17 ARGYLE PLACE
325661,672340,102,greengrocer,Nadia's Fruit Market,Class 1,EH9 1JJ,325661,672340,18 ARGYLE PLACE
325660,672347,103,hairdresser,Cheryl Irvine,Class 1,EH9 1JJ,325660,672347,20 ARGYLE PLACE
325661,672353,104,vacant,vacant,Vacant,EH9 1JJ,325661,672353,21 ARGYLE PLACE
325660,672364,105,physiotherapy,Bodywell,Class 1,EH9 1JJ,325660,672364,22 ARGYLE PLACE
325660,672368,106,wholefoods,The New Leaf,Class 1,EH9 1JJ,325660,672368,23 ARGYLE PLACE
325660,672379,107,vacant,vacant,Vacant,EH9 1JJ,325660,672379,25-28 ARGYLE PLACE
325660,672390,108,bicycle repairs & accessories,Bicycle Works,Class 1,EH9 1JJ,325660,672390,30 ARGYLE PLACE
325659,672417,109,professional services,Helen Lucas / The Roberts Partnership/ David Narro etc.,Class 4,EH9 1JT,325659,672417,31 ARGYLE PLACE
325659,672442,110,architects,Burgess Adams,Class 4,EH9 1JT,325659,672442,38 ARGYLE PLACE
325659,672447,111,cafe,Meadowlark Cafe,Class 3,EH9 1JT,325659,672447,39 ARGYLE PLACE
325659,672456,112,health food,Meadowlark,Class 1,EH9 1JT,325659,672456,40 ARGYLE PLACE
325659,672462,113,chartered accountant,Tang & Co,Class 2,EH9 1JT,325659,672462,41 ARGYLE PLACE
325658,672469,114,yoga studio,Meadowlark,Class 1, ,325658,672469, 
323351,671720,115,office,n/a,Class 4, ,323351,671720, 
323343,671729,116,hairdresser,Dian Ward Hairdressing,Class 1,EH11 1RF,323343,671729,1E ASHLEY TERRACE
323340,671732,117,photographer,Klaklack Design & Photography,Class 2,EH11 1RF,323340,671732,1F ASHLEY TERRACE
323260,671820,118,n/t/c & grocer,M.A's Newsagents,Class 1,EH11 1RE,323260,671820,29-30 ASHLEY TERRACE
323256,671823,119,soft furnishings,James Aird,Class 1,EH11 1RE,323256,671823,32 ASHLEY TERRACE
323253,671826,120,architects,SHS Burbridge Architects,Class 4,EH11 1RE,323253,671826,33 ASHLEY TERRACE
323250,671831,121,gallery,n/a,Class 1,EH11 1RE,323250,671831,34 ASHLEY TERRACE
323247,671834,122,letting agent,Craigflower Lettings,Class 2,EH11 1RE,323247,671834,36 ASHLEY TERRACE
323259,671855,123,hairdresser,Colbalt Hair,Class 1,EH11 1RY,323259,671855,37 ASHLEY TERRACE
323262,671852,124,beauty salon,Revive Beauty,Class 1,EH11 1RY,323262,671852,39 ASHLEY TERRACE
323264,671849,125,recruitment agency,Fintec,Class 2,EH11 1RY,323264,671849,40 ASHLEY TERRACE
323269,671845,126,chartered accountants,Owen and Co,Class 2,EH11 1RY,323269,671845,41 ASHLEY TERRACE
323271,671841,127,florist,Pollination,Class 1,EH11 1RY,323271,671841,42 ASHLEY TERRACE
323274,671838,128,hairdresser,Kharma Hair,Class 1,EH11 1RY,323274,671838,44 ASHLEY TERRACE
323277,671835,129,sandwich bar,Blueberry Hill,Class 1,EH11 1RY,323277,671835,45 ASHLEY TERRACE
323283,671828,130,grocer,Margiotta,Class 1,EH11 1RY,323283,671828,46-50 ASHLEY TERRACE
327340,676406,131,restaurant (Mongolian),Khublai Khan's Barbecue,Class 3,EH6 7BQ,327340,676406,43 ASSEMBLY STREET
324313,673395,132,restaurant (Chinese),China Town,Class 3,EH3 8HP,324313,673395,3 ATHOLL PLACE
324284,673373,133,engineers,Blackwood Partnership,Class 4, ,324284,673373, 
324263,673358,134,tattoo artist,The Devil's Scribe,Class 1, ,324263,673358, 
324259,673349,135,solicitors (family and criminal law),Hughes Walker Solicitors,Class 4,EH3 8HP,324259,673349,13 ATHOLL PLACE
330161,673983,136,computer centre,Standard Life,Class 4,EH15 1ET,330161,673983,11 BAILEYFIELD CRESCENT
330130,673616,137,leisure centre,Party Planet,Class 11,EH15 1NA,330130,673616,39 BAILEYFIELD ROAD
313965,670821,138,doctors surgery,Ratho Surgery,Class 2, ,313965,670821, 
313929,670873,139,public house,Bridge Inn,SUI GENERIS,EH28 8RU,313929,670873,27 BAIRD ROAD
324685,674512,140,cheesemonger,Ian J. Mellis,Class 1,EH3 6SY,324685,674512,6 BAKER'S PLACE
324683,674513,141,caf‚,Stockbridge Kitchen,Class 3,EH3 6SY,324683,674513,7 BAKER'S PLACE
324681,674515,142,coffee shop,Starbucks,Class 3,EH3 6SY,324681,674515,8-10 BAKER'S PLACE
324347,670946,143,education,Counselling Office,Class 2,EH10 5JB,324347,670946,8 BALCARRES STREET
326665,675370,144,personal trainer,Griffen fitness,Class 11,EH6 5BY,326665,675370,3 BALFOUR STREET
326594,675469,145,grocer & n/t/c,A M Licensed Grocer,Class 1,EH6 5DQ,326594,675469,29 BALFOUR STREET
326629,675471,146,dental laboratory,Dental Lab,Class 2, ,326629,675471, 
322254,671986,147,computer repair,Renewit,Class 2,EH11 2RZ,322254,671986,191 BALGREEN ROAD
322255,671983,148,hot food take-away (Chinese),B.M.,SUI GENERIS,EH11 2RZ,322255,671983,193 BALGREEN ROAD
322257,671979,149,sandwich bar,Kimmy's Caf‚,Class 1,EH11 2RZ,322257,671979,195 BALGREEN ROAD
322258,671975,150,hairdresser,Beauteous,Class 1,EH11 2RZ,322258,671975,197 BALGREEN ROAD
322262,671968,151,Community Centre,Turkish Community Centre,Class 1,EH11 2RZ,322262,671968,199 BALGREEN ROAD
322264,671964,152,hot food take-away,Balgreen Fryer Fish Bar,SUI GENERIS,EH11 2RZ,322264,671964,203 BALGREEN ROAD
322274,671945,153,performing arts centre,MGA Academy of Performance Arts,Class 4, ,322274,671945, 
322286,671918,154,vacant,vacant,Vacant,EH11 2RZ,322286,671918,213 BALGREEN ROAD
322289,671914,155,Landscape Architect,John Richards Landscape Architect,Class 4,EH11 2RZ,322289,671914,215 BALGREEN ROAD
322291,671910,156,fire and security,I Fire,Class 2,EH11 2RZ,322291,671910,219 BALGREEN ROAD
322299,671906,157,betting shop,William Hill,Class 2,EH11 2RZ,322299,671906,221-223 BALGREEN ROAD
322308,671907,158,vacant,vacant,Vacant,EH11 2RZ,322308,671907,229 BALGREEN ROAD
322023,672317,159,hot food take-away (Chinese),Lucky Star,SUI GENERIS,EH11 3AU,322023,672317,154 BALGREEN ROAD
322028,672311,160,charity office,Downs Syndrome Scotland,Class 2,EH11 3AU,322028,672311,158-160 BALGREEN ROAD
322034,672304,161,hairdresser,Senga's,Class 1,EH11 3AU,322034,672304,164 BALGREEN ROAD
322040,672297,162,grocer / post office,U Save / post office,Class 1,EH11 3AU,322040,672297,166 BALGREEN ROAD
322046,672290,163,n/t/c,Pasha's,Class 1,EH11 3AU,322046,672290,170 BALGREEN ROAD
327438,676431,164,lighting design,Kevin Shaw Lighting Design,Class 4,EH6 7BW,327438,676431,4 BALTIC STREET
326638,676248,165,sports masseuse,Jonathon Martin,Class 11,EH6 5JY,326638,676248,3 BANGOR ROAD
326466,676068,166,knitwear,James Pringle Shopping Warehouse (Edinburgh Woollen Mill),Class 1,EH6 5JU,326466,676068,70-74 BANGOR ROAD
325584,673632,167,"home entertainment, tapes, cds",Coda Music,Class 1,EH1 2LN,325584,673632,12 BANK STREET
325591,673632,168,caf‚ (specialist tea),Chatime,Class 3,EH1 2LN,325591,673632,14 BANK STREET
325593,673625,169,caf‚,Itailian on Mound,SUI GENERIS,EH1 2LN,325593,673625,15 BANK STREET
325594,673618,170,caf‚,Zebra Coffee Co.,Class 3,EH1 2LN,325594,673618,16 BANK STREET
325596,673611,171,souvenirs,I Love Scotland,Class 1,EH1 2LN,325596,673611,17-20 BANK STREET
325557,673630,172,restaurant,The Markar's Rest,Class 3,EH1 2LP,325557,673630,9 BANK STREET NORTH
319420,670788,173,bank,Bank of Scotland,Class 2,EH11 4HD,319420,670788,10 BANKHEAD AVENUE
319400,670798,174,bank,Clydesdale Bank,Class 2,EH11 4HD,319400,670798,12 BANKHEAD AVENUE
319435,671292,175,wholesale cash and carry warehouse,Makro,Class 1,EH11 4EA,319435,671292,50 BANKHEAD AVENUE
318809,671019,176,hot food takeaway,Food to Go,SUI GENERIS,EH11 4XX,318809,671019,(99A) BANKHEAD CROSSWAY NORTH
319184,671168,177,gas appliances,Calor Shop,Class 1,EH11 4BP,319184,671168,6K BANKHEAD CROSSWAY NORTH
318829,670904,178,hot food takeaway,Maggie's Snack Bar,SUI GENERIS,EH11 4EP,318829,670904,56(A) BANKHEAD CROSSWAY SOUTH
319011,670596,179,floor & wall tile warehouse,Topps Tiles,Class 1,EH11 4HH,319011,670596,2/1 BANKHEAD DRIVE
319003,670630,180,flooring warehouse,Direct Flooring,Class 1,EH11 4HH,319003,670630,2/3 BANKHEAD DRIVE
318998,670645,181,vacant,vacant,Vacant,EH11 4HH,318998,670645,2/4 BANKHEAD DRIVE
318989,670676,182,hairdressing retail warehouse,Capital Hair & Beauty,Class 1,EH11 4HH,318989,670676,2/6 BANKHEAD DRIVE
